Numero,Ubicación,Nombre,Disponibilidad,precio de Venta,Precio de Alquiler,Recamaras,Baños,Dimensión,Tipo de vivienda,vivienda nueva / de segunda
2,Calidonia,WATERS ON THE BAY,VENTA,"$690,000.00",,3,3,269,APARTAMENTOS,DE SEGUNDA
2,Calidonia,WHITE,VENTALQUILER,"$280,000.00",,1,1,121,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,MIRAMAR TORRE 2,VENTALQUILER,"$900,000.00",,3,3,375,APARTAMENTOS,NUEVO
2,Calidonia,WHITE,VENTA,"$280,000.00",,2,2,119,APARTAMENTOS,DE SEGUNDA
4,San Francisco,Apartamento JW Marriott,VENTA,"$395,000.00",,1,1,130,APARTAMENTOS,DE SEGUNDA
5,"Punta Pacifica, San francisco",OCEANAIRE,VENTA,"$218,000.00",,1,1,95,APARTAMENTOS,DE SEGUNDA
5,"Punta Pacifica, San francisco",PH Oasis on the Bay,VENTA,"$225,000.00",,2,1,199,APARTAMENTOS,DE SEGUNDA
5,"Punta Pacifica, San francisco",ROYAL PACIFIC,VENTA,"$260,000.00",,3,2,144,APARTAMENTOS,DE SEGUNDA
5,"Punta Pacifica, San francisco",Aquamare 29-B,VENTA,"$850,000.00",,3,3,356,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",COURTYARD VIEW,VENTA,"$225,000.00",,2,2,160,APARTAMENTOS,DE SEGUNDA
5,"Punta Pacifica, San francisco",AQUALINA,VENTA,"$749,000.00",,3,3,381,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",DUPONT TOWER,VENTA,"$420,000.00",,2,2,250,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",MYSTIC POINT,VENTALQUILER,"$450,000.00",,3,3,217,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",MYSTIC POINT T100,VENTALQUILER,"$315,000.00",,3,3,180,APARTAMENTOS,DE SEGUNDA
5,"Punta Pacifica, San francisco",Punta Roca,VENTA,"$1,000,000.00",,4,4,526,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",COSTA PACIFICA T100,VENTA,"$290,000.00",,2,2,242,APARTAMENTOS,DE SEGUNDA
5,"Punta Pacifica, San francisco",OASIS,VENTA,"$210,000.00",,2,1,99,APARTAMENTOS,DE SEGUNDA
5,"Punta Pacifica, San francisco",AQUALINA,VENTA,"$720,000.00",,4,4,408,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",COSTA PACIFICA T100,VENTA,"$249,000.00",,3,2,242,APARTAMENTOS,DE SEGUNDA
5,"Punta Pacifica, San francisco",BLUE BAHIA,VENTA,"$895,000.00",,4,5,126,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",BLUE BAHIA,VENTALQUILER,"$579,000.00",,3,3,126,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",DUPONT TOWER,VENTALQUILER,"$379,000.00",,2,2,126,APARTAMENTOS,DE SEGUNDA
5,"Punta Pacifica, San francisco",PACIFIC SUN,RENTANDO,"$235,000.00",,2,2,279,APARTAMENTOS,
5,"Punta Pacifica, San francisco",OCEANAIRE,VENTALQUILER,"$290,000.00",,2,2,155,APARTAMENTOS,DE SEGUNDA
5,"Punta Pacifica, San francisco",PH Oceanaire,VENTA,"$330,000.00",,2,2,178,APARTAMENTOS,DE SEGUNDA
5,"Punta Pacifica, San francisco",SEMI-AMOBLADO + DEPÓSITO DE 11 METROS,VENTA,"$277,000.00",,2,1,99,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",AQUALINA,VENTALQUILER,"$636,000.00",,3,3,328,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",COSTA PACIFICA T100,VENTALQUILER,"$410,000.00",,3,2,242,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",COSTA PACIFICA T400,VENTALQUILER,"$385,000.00",,3,3,199,APARTAMENTOS,DE SEGUNDA
5,"Punta Pacifica, San francisco","BLUE BAHIA, Distinguido ! Impecable !",VENTA,"$599,000.00",,3,3,279,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",PACIFIC STAR,VENTALQUILER,"$300,000.00",,3,3,180,APARTAMENTOS,DE SEGUNDA
5,"Punta Pacifica, San francisco",PACIFIC POINT TORRE 300,VENTA,"$570,000.00",,3,3,306,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",OCEANAIRE,VENTALQUILER,"$840,000.00",,2,2,321,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",OCEAN PARK TORRE 1,VENTA,"$550,000.00",,3,3,259,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",LOFT FOUR 41,VENTA,"$540,000.00",,2,1,483,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",OCEAN DRIVE,VENTA,"$430,000.00",,3,3,222,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",COSTA PACIFICA T400,VENTALQUILER,"$360,000.00",,3,3,199,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",OASIS ON THE BAY,RENTANDO,"$780,000.00",,3,3,299,APARTAMENTOS,
5,"Punta Pacifica, San francisco",OCEAN DRIVE,VENTA,"$460,000.00",,3,3,460,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",OASIS ON THE BAY,VENTALQUILER,"$220,000.00",,2,1,99,APARTAMENTOS,DE SEGUNDA
5,"Punta Pacifica, San francisco",COSTA PACIFICA TORRE T100,VENTA,"$240,000.00",,3,3,126,APARTAMENTOS,DE SEGUNDA
5,"Punta Pacifica, San francisco",PACIFIC POINT TORRE 300,VENTA,"$720,000.00",,3,4,306,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",PACIFIC POINT TORRE 700,VENTALQUILER,"$1,100,000.00",,3,3,389,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",GRAND TOWER,VENTA,"$345,000.00",,2,2,159,APARTAMENTOS,DE SEGUNDA
5,"Punta Pacifica, San francisco",TRUMP OCEAN CLUB,VENTA,"$515,000.00",,2,2,153,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",TRUMP OCEAN CLUB,VENTA,"$515,000.00",,2,2,153,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",OCEAN DRIVE,VENTA,"$575,000.00",,3,3,333,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",PACIFIC POINT TORRE 200,VENTA,"$1,027,650.00",,3,3,395,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",TRUMP OCEAN CLUB,VENTALQUILER,"$550,000.00",,2,2,153,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",OCEAN DRIVE,VENTA,"$460,000.00",,3,3,222,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",PACIFIC VILLAGE TORRE 2,RENTANDO,"$398,000.00",,2,1,167,APARTAMENTOS,
5,"Punta Pacifica, San francisco",PACIFIC BLUE,VENTA,"$190,000.00",,2,2,88,APARTAMENTOS,DE SEGUNDA
5,"Punta Pacifica, San francisco",ROYAL PACIFIC,VENTALQUILER,"$290,000.00",,3,2,129,APARTAMENTOS,DE SEGUNDA
5,"Punta Pacifica, San francisco",PACIFIC POINT,VENTA,"$1,095,000.00",,3,4,404,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",PACIFIC POINT TORRE 300,VENTALQUILER,"$1,050,000.00",,3,3,306,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",OCEAN PARK TORRE 2,VENTA,"$660,000.00",,4,4,280,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",PACIFIC SKY,VENTA,"$450,000.00",,2,2,220,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",GRAND TOWER,VENTA,"$702,975.00",,2,2,251,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",GRAND TOWER,VENTA,"$460,875.00",,2,2,171,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",GRAND TOWER,VENTA,"$623,600.00",,2,2,115,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",Q TOWER,VENTA,"$950,000.00",,4,6,363,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",AQUAMARE,VENTA,"$1,450,000.00",,3,3,610,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",DUPONT TOWER,VENTALQUILER,"$1,199,000.00",,3,3,442,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",AQUAMARE,VENTA,"$1,100,000.00",,3,3,356,APARTAMENTOS,NUEVO
5,"Punta Pacifica, San francisco",OCEAN PARK TORRE 1,VENTA,"$985,000.00",,4,3,448,APARTAMENTOS,NUEVO
1,Bella Vista,WHITE,VENTA,"$250,000.00",,2,2,119,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,H2O,VENTA,"$589,000.00",,3,3,405,APARTAMENTOS,DE SEGUNDA
2,Calidonia,WHITE,VENTA,"$338,000.00",,3,3,169,APARTAMENTOS,DE SEGUNDA
2,Calidonia,RIVAGE,VENTA,"$390,000.00",,2,2,177,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,WATERS ON THE BAY,VENTALQUILER,"$370,000.00",,2,2,122,APARTAMENTOS,DE SEGUNDA
2,Calidonia,PRINCESA DEL MAR,RENTANDO,"$650,000.00",,3,3,330,APARTAMENTOS,
2,Calidonia,BAYFRONT,VENTA,"$215,000.00",,1,1,100,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,LA ENSENADA,VENTALQUILER,"$360,000.00",,3,3,194,APARTAMENTOS,DE SEGUNDA
2,Calidonia,RIVAGE,VENTALQUILER,"$550,000.00",,2,2,169,APARTAMENTOS,NUEVO
1,Bella Vista,MIRAMAR TORRE 2,VENTA,"$1,500,000.00",,3,3,750,APARTAMENTOS,NUEVO
2,Calidonia,MIRAMAR PLAZA,VENTA,"$1,500,000.00",,3,4,600,APARTAMENTOS,NUEVO
2,Calidonia,RIVAGE,VENTA,"$950,000.00",,3,3,347,APARTAMENTOS,NUEVO
1,Bella Vista,ARTS & YOO,VENTA,"$1,080,000.00",,3,3,316,APARTAMENTOS,NUEVO
2,Calidonia,ELEMENT,RENTANDO,"$270,000.00",,2,2,105,APARTAMENTOS,
1,Bella Vista,MIRAMAR TORRE 2,VENTA,"$800,000.00",,3,3,375,APARTAMENTOS,NUEVO
1,Bella Vista,MIRAMAR TORRE 2,VENTA,"$900,000.00",,3,3,375,APARTAMENTOS,NUEVO
1,Bella Vista,WATERS ON THE BAY,VENTALQUILER,"$390,000.00",,2,2,122,APARTAMENTOS,DE SEGUNDA
2,Calidonia,RIVAGE,RENTANDO,"$360,000.00",,1,1,150,APARTAMENTOS,
2,Calidonia,WHITE,RENTANDO,"$330,000.00",,2,2,137,APARTAMENTOS,
1,Bella Vista,YOO,VENTALQUILER,"$650,000.00",,2,2,180,APARTAMENTOS,NUEVO
2,Calidonia,BAYFRONT TOWER,VENTA,"$220,000.00",,1,1,87,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,YOO,VENTA,"$295,000.00",,1,1,94,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,VISTA DEL MAR,RENTANDO,"$250,000.00",,1,1,113,APARTAMENTOS,
1,Bella Vista,YOO,VENTA,"$550,000.00",,2,2,176,APARTAMENTOS,NUEVO
2,Calidonia,YACHT CLUB,VENTA,"$420,000.00",,2,2,152,APARTAMENTOS,NUEVO
2,Calidonia,YACHT CLUB,VENTALQUILER,"$500,000.00",,3,2,179,APARTAMENTOS,NUEVO
2,Calidonia,RIVAGE,VENTA,"$360,000.00",,1,2,150,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,WATERS ON THE BAY,VENTA,"$690,000.00",,3,3,269,APARTAMENTOS,NUEVO
2,Calidonia,WHITE,VENTALQUILER,"$280,000.00",,1,1,121,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,MIRAMAR TORRE 2,VENTALQUILER,"$900,000.00",,3,3,375,APARTAMENTOS,NUEVO
2,Calidonia,WHITE,VENTA,"$280,000.00",,2,2,119,APARTAMENTOS,DE SEGUNDA
6,"Obarrio, Bella Vista",PH BRISAS OBARRIO,VENTA,"$240,000.00",,3,3,173,APARTAMENTOS,DE SEGUNDA
6,"Obarrio, Bella Vista",RIVER PARK,VENTA,"$240,000.00",,3,2,131,APARTAMENTOS,DE SEGUNDA
6,"Obarrio, Bella Vista",Vendo ganga apto amueblado Obarrio,VENTA,"$230,000.00",,3,3,150,APARTAMENTOS,DE SEGUNDA
6,"Obarrio, Bella Vista","CASA EN OBARRIO PARA REMODELAR $ 400,000",VENTA,"$400,000.00",,3,4,170,CASAS,NUEVO
6,"Obarrio, Bella Vista",EXCELENTE APARTAMENTO EN OBARRIO,VENTA,"$275,000.00",,2,3,135,APARTAMENTOS,DE SEGUNDA
6,"Obarrio, Bella Vista",PH Denovo,VENTA,"$205,000.00",,2,2,110,APARTAMENTOS,DE SEGUNDA
6,"Obarrio, Bella Vista",SOPHIA TOWER,VENTA,"$355,000.00",,3,3,188,APARTAMENTOS,DE SEGUNDA
6,"Obarrio, Bella Vista",CASA EN OBARRIO,VENTA,"$750,000.00",,3,3,292,CASAS,NUEVO
6,"Obarrio, Bella Vista",SOPHIA TOWER,VENTA,"$375,000.00",,3,3,188,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,THE PALM,VENTALQUILER,"$382,812.00",,3,3,166,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,THE PALM,RENTANDO,"$378,718.00",,3,3,165,APARTAMENTOS,
1,Bella Vista,THE PALM,VENTALQUILER,"$383,456.00",,3,3,167,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,RIVER PARK,VENTA,"$325,000.00",,2,2,131,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,Apartamento en Yacht Club,VENTA,"$261,670.00",,1,1,166,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,ESCUCHAMOS OFERTAS ¡PRECIO NEGOCIABLE!,VENTA,"$270,000.00",,2,2,108,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,THE SEAWAVES,VENTA,"$220,000.00",,3,2,125,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,CERROMAR,VENTA,"$470,000.00",,4,4,331,APARTAMENTOS,NUEVO
1,Bella Vista,Apartamento en PH Marina Park,VENTA,"$390,000.00",,3,3,204,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,Miramar 36-B,VENTA,"$690,000.00",,3,3,375,APARTAMENTOS,NUEVO
1,Bella Vista,SE VENDE APARTAMENTO EN PH ALLURE,VENTA,"$550,000.00",,3,3,287,APARTAMENTOS,NUEVO
1,Bella Vista,MEGAPOLIS PISO ALTO | EVALUAMOS OFERTAS,VENTA,"$101,000.00",,1,1,43,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,ph h2o on the ocean,VENTALQUILER,"$485,000.00",,4,3,280,APARTAMENTOS,NUEVO
1,Bella Vista,Torres del Pacifico Torre B,VENTA,"$300,000.00",,3,3,180,APARTAMENTOS,DE SEGUNDA
12,Cinta Costera,NUOVO PANAMA con 4 ESTACIONAMIENTOS,VENTA,"$390,000.00",,2,3,101,APARTAMENTOS,DE SEGUNDA
12,Cinta Costera,NUOVO PANAMA con 2 ESTACIONAMIENTOS,VENTA,"$330,000.00",,2,3,94,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,Apartamento en venta PH Rivage 29-B,VENTA,"$275,000.00",,2,2,150,APARTAMENTOS,DE SEGUNDA
12,Cinta Costera,NUOVO PANAMA A PASOS DE LA CINTA COSTERA,VENTA,"$299,000.00",,2,3,94,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,ROR,VENTA,"$298,000.00",,3,3,239,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,MARINA PARK,RENTANDO,"$390,000.00",,3,3,204,APARTAMENTOS,
1,Bella Vista,MARINA PARK,RENTANDO,"$390,000.00",,3,3,210,APARTAMENTOS,
1,Bella Vista,CASA COMERCIAL EN BELLA VISTA,VENTALQUILER,"$1,080,000.00",,6,6,720,CASAS,NUEVO
1,Bella Vista,"P.H BELLA VISTA PARK,",VENTALQUILER,"$297,500.00",,2,2,160,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,PH BELLA VISTA PARK,VENTA,"$290,000.00",,2,2,132,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,ROR,VENTA,"$330,000.00",,3,3,228,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,ROR,VENTA,"$398,000.00",,2,2,228,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,BELLE VIEW,VENTA,"$315,000.00",,3,2,125,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,Parkside Costa del Este,VENTALQUILER,"$320,000.00","$1,300.00",1,1,96,APARTAMENTOS,DE SEGUNDA
7,Costa del Este,MAREA II,VENTA,"$2,216,700.00",,4,4,718,APARTAMENTOS,NUEVO
1,Bella Vista,COSTA SERENA,VENTALQUILER,"$1,100,000.00","$4,000.00",3,5,550,CASAS,NUEVO
7,Costa del Este,Castellammare Loft,VENTA,"$280,000.00",,2,2,113,APARTAMENTOS,DE SEGUNDA
7,Costa del Este,SOL DEL ESTE TORRE 2,RENTANDO,"$255,000.00","$1,200.00",3,3,147,APARTAMENTOS,
7,Costa del Este,Sol del Este,VENTA,"$260,000.00",,3,3,147,APARTAMENTOS,DE SEGUNDA
7,Costa del Este,COSTA SERENA,VENTA,"$790,000.00",,4,4,420,CASAS,NUEVO
7,Costa del Este,Costa Dorada #82,VENTA,"$650,000.00",,3,3,380,CASAS,NUEVO
7,Costa del Este,"Costa del Este, COSTA SERENA",VENTA,"$1,023,000.00",,3,3,500,CASAS,NUEVO
7,Costa del Este,COSTA AZUL,VENTALQUILER,"$850,000.00","$3,500.00",4,3,247,CASAS,NUEVO
7,Costa del Este,Costa Serena,VENTALQUILER,"$880,000.00","$4,000.00",4,4,462,CASAS,NUEVO
7,Costa del Este,OCEAN ONE,VENTA,"$620,000.00",,4,4,330,APARTAMENTOS,NUEVO
7,Costa del Este,Green Bay III 22B,VENTA,"$165,000.00",,3,2,114,APARTAMENTOS,DE SEGUNDA
7,Costa del Este,COSTA SERENA,VENTA,"$850,000.00",,3,3,360,CASAS,NUEVO
7,Costa del Este,COSTA BAY,VENTA,"$790,000.00",,3,3,414,CASAS,NUEVO
7,Costa del Este,RIVERSIDE,VENTA,"$294,000.00",,1,2,101,APARTAMENTOS,DE SEGUNDA
7,Costa del Este,BALMORAL,VENTA,"$2,500,000.00",,4,4,767,CASAS,NUEVO
7,Costa del Este,CAMELIAS,VENTA,"$1,500,000.00",,3,3,655,CASAS,NUEVO
7,Costa del Este,BEGONIAS,VENTA,"$1,750,000.00",,6,6,900,CASAS,NUEVO
7,Costa del Este,PH ALTAMAR DEL ESTE,VENTALQUILER,"$699,000.00","$2,600.00",3,3,317,APARTAMENTOS,NUEVO
7,Costa del Este,PH RIVERSIDE EN ALQUILER O VENTA,VENTALQUILER,"$340,000.00","$1,600.00",1,2,105,APARTAMENTOS,DE SEGUNDA
7,Costa del Este,COSTA BELLA RESIDENCIA EN VENTA,VENTA,"$740,000.00",,3,4,360,CASAS,NUEVO
7,Costa del Este,MAREA II,VENTA,"$2,000,000.00",,4,4,718,APARTAMENTOS,NUEVO
7,Costa del Este,PH VITRI TOWER,VENTALQUILER,"$1,300,000.00","$5,500.00",4,4,525,APARTAMENTOS,NUEVO
7,Costa del Este,SOHO TOWER IMPECABLE,VENTALQUILER,"$450,000.00","$2,300.00",3,3,207,APARTAMENTOS,NUEVO
7,Costa del Este,COUNTRY CLUB,VENTALQUILER,"$370,000.00","$1,500.00",3,3,204,APARTAMENTOS,DE SEGUNDA
7,Costa del Este,PH SEVILLA T0RRE 1000,VENTA,"$239,000.00",,2,2,110,APARTAMENTOS,DE SEGUNDA
7,Costa del Este,TORRE ZEUS,VENTA,"$706,200.00",,3,3,372,APARTAMENTOS,NUEVO
7,Costa del Este,COSTA SERENA,VENTA,"$1,050,000.00",,5,5,520,CASAS,NUEVO
7,Costa del Este,PARQUE DEL MAR I,VENTA,"$365,000.00",,3,3,202,APARTAMENTOS,DE SEGUNDA
7,Costa del Este,TEN TOWER,RENTANDO,"$886,000.00",,3,3,419,APARTAMENTOS,
7,Costa del Este,TOSCANA DEL ESTE,VENTA,"$1,800,000.00",,4,4,500,CASAS,NUEVO
7,Costa del Este,ROYAL PACIFIC,VENTALQUILER,"$1,350,000.00","$6,500.00",5,4,575,CASAS,NUEVO
7,Costa del Este,OCEAN TWO,VENTA,"$875,000.00",,4,4,410,APARTAMENTOS,NUEVO
7,Costa del Este,PH Breeze,VENTA,"$450,000.00",,3,3,238,APARTAMENTOS,NUEVO
7,Costa del Este,PH MAREA,VENTALQUILER,"$1,785,000.00","$6,500.00",4,4,626,APARTAMENTOS,NUEVO
7,Costa del Este,OCEAN TWO,VENTA,"$749,000.00",,3,3,415,APARTAMENTOS,NUEVO
7,Costa del Este,Sol del Este 19A,VENTALQUILER,"$260,000.00","$1,400.00",3,3,147,APARTAMENTOS,DE SEGUNDA
7,Costa del Este,PH MAREA,VENTA,"$1,550,000.00",,4,4,626,APARTAMENTOS,NUEVO
7,Costa del Este,PH PARQUE DEL MAR LINDA VISTA AL PARQUE,VENTA,"$359,900.00",,3,3,202,APARTAMENTOS,DE SEGUNDA
7,Costa del Este,OCEAN TWO,VENTA,"$675,000.00",,3,3,303,APARTAMENTOS,DE SEGUNDA
7,Costa del Este,PANAMA BAY TOWER,VENTALQUILER,"$660,000.00","$4,250.00",3,3,338,APARTAMENTOS,NUEVO
7,Costa del Este,VITRI TOWER,VENTALQUILER,"$956,228.00","$4,850.00",3,3,368,APARTAMENTOS,NUEVO
7,Costa del Este,GREEN BAY COSTA DEL ESTE,VENTA,"$180,000.00",,3,2,125,APARTAMENTOS,DE SEGUNDA
7,Costa del Este,Ocean Two,VENTALQUILER,"$625,000.00","$2,800.00",3,3,303,APARTAMENTOS,NUEVO
7,Costa del Este,Riverside,VENTALQUILER,"$330,000.00","$1,800.00",2,2,142,APARTAMENTOS,DE SEGUNDA
7,Costa del Este,Penthouse Breeze Costa del Este,VENTA,"$1,200,000.00",,4,5,443,APARTAMENTOS,NUEVO
7,Costa del Este,TEN TOWER,VENTA,"$895,000.00",,3,3,432,APARTAMENTOS,NUEVO
7,Costa del Este,Casa,VENTA,"$700,000.00",,3,3,313,CASAS,NUEVO
7,Costa del Este,Parque del Mar,VENTALQUILER,"$380,000.00","$1,750.00",3,3,202,APARTAMENTOS,DE SEGUNDA
8,"Costa del Este,Juan Díaz",PH – Pearl At The Sea,VENTA,"$695,000.00",,3,3,291,APARTAMENTOS,NUEVO
8,"Costa del Este,Juan Díaz",PARKSIDE,VENTA,"$300,000.00",,1,1,96,APARTAMENTOS,DE SEGUNDA
8,"Costa del Este,Juan Díaz",Sevilla,VENTALQUILER,"$220,000.00","$1,200.00",2,2,110,APARTAMENTOS,DE SEGUNDA
8,"Costa del Este,Juan Díaz",LATITUDE,VENTA,"$485,000.00",,3,3,210,APARTAMENTOS,NUEVO
8,"Costa del Este,Juan Díaz",PH TITANIUM,VENTA,"$475,000.00",,3,3,226,APARTAMENTOS,NUEVO
8,"Costa del Este,Juan Díaz",Royal Pacific,VENTA,"$1,350,000.00",,4,4,561,CASAS,NUEVO
8,"Costa del Este,Juan Díaz",MURANO,VENTA,"$700,000.00",,3,3,290,APARTAMENTOS,NUEVO
8,"Costa del Este,Juan Díaz",TEN TOWER,VENTA,"$925,000.00",,3,3,424,APARTAMENTOS,NUEVO
8,"Costa del Este,Juan Díaz",COSTA DEL ESTE COUNTRY CLUB,RENTANDO,"$389,000.00","$1,400.00",3,3,204,APARTAMENTOS,
8,"Costa del Este,Juan Díaz",TOSCANA DEL ESTE,VENTA,"$2,200,000.00",,4,4,650,CASAS,NUEVO
8,"Costa del Este,Juan Díaz",BALMORAL,VENTA,"$3,200,000.00",,5,8,850,CASAS,NUEVO
8,"Costa del Este,Juan Díaz",THE REGENT COUNTRY CLUB,VENTA,"$315,000.00",,2,2,106,APARTAMENTOS,DE SEGUNDA
8,"Costa del Este,Juan Díaz",THE REGENT COUNTRY CLUB,VENTA,"$280,000.00",,2,2,96,APARTAMENTOS,DE SEGUNDA
8,"Costa del Este,Juan Díaz",RIVERSIDE,RENTANDO,"$325,000.00",,2,2,130,APARTAMENTOS,
8,"Costa del Este,Juan Díaz",MAREA II,VENTA,"$2,221,700.00",,4,4,718,APARTAMENTOS,NUEVO
