Nombre,Disponibilidad,precio de Venta,Precio de Alquiler,Recamaras,Baños,Dimensión,Tipo de vivienda,vivienda nueva / de segunda
COSTA PACIFICA T100,VENTA,"$290,000.00",,2,2,,APARTAMENTOS,DE SEGUNDA
OASIS ON THE BAY,ALQUILER,"$1,400.00",,3,2,,APARTAMENTOS,
MYSTIC POINT,ALQUILER,"$1,400.00",,3,3,,APARTAMENTOS,
VIVE EN PUNTA PACIFICA CON VISTA AL MAR,ALQUILER,"$1,650.00",,3,4,,APARTAMENTOS,
OASIS,VENTA,"$210,000.00",,2,1,,APARTAMENTOS,DE SEGUNDA
Mystic Point 100,ALQUILER,"$1,500.00",,3,3,,APARTAMENTOS,
MYSTIC POINT AMOBLADO Y MALLA PARA NIÑOS,ALQUILER,"$1,600.00",,3,4,,APARTAMENTOS,
AQUALINA,VENTA,"$720,000.00",,4,4,,APARTAMENTOS,NUEVO
COSTA PACIFICA T100,VENTA,"$249,000.00",,3,2,,APARTAMENTOS,DE SEGUNDA
PACIFIC VILLAGE TORRE 2,ALQUILER,"$2,500.00",,3,3,,APARTAMENTOS,
BLUE BAHIA,VENTA,"$895,000.00",,4,5,,APARTAMENTOS,NUEVO
PH DUPONT TOWER,ALQUILER,"$1,450.00",,1,1,,APARTAMENTOS,
BLUE BAHIA,VENTALQUILER,"$579,000.00",,3,3,,APARTAMENTOS,NUEVO
DUPONT TOWER,VENTALQUILER,"$379,000.00",,2,2,,APARTAMENTOS,DE SEGUNDA
PACIFIC SUN,RENTANDO,"$235,000.00",,2,2,,APARTAMENTOS,
APARTAMENTO EN ALQUILER (JWMARRIOT),ALQUILER,"$2,500.00",,2,2,,APARTAMENTOS,
OCEANAIRE,VENTALQUILER,"$290,000.00",,2,2,,APARTAMENTOS,DE SEGUNDA
ALQUILO con 2 ESTAC. | ANTIGUO TRUMP,ALQUILER,"$1,800.00",,1,1,,APARTAMENTOS,
PH Oceanaire,VENTA,"$330,000.00",,2,2,,APARTAMENTOS,DE SEGUNDA
SEMI-AMOBLADO + DEPÓSITO DE 11 METROS,VENTA,"$277,000.00",,2,1,,APARTAMENTOS,NUEVO
AQUALINA,VENTALQUILER,"$636,000.00",,3,3,,APARTAMENTOS,NUEVO
PH OASIS ON THE BAY,ALQUILER,"$1,250.00",,2,2,,APARTAMENTOS,
PACIFIC VILLAGE,ALQUILER,"$3,500.00",,3,3,,APARTAMENTOS,
COSTA PACIFICA T100,VENTALQUILER,"$410,000.00",,3,2,,APARTAMENTOS,NUEVO
COSTA PACIFICA T400,VENTALQUILER,"$385,000.00",,3,3,,APARTAMENTOS,DE SEGUNDA
LOFT FOUR 41,ALQUILER,"$1,400.00",,1,1,,APARTAMENTOS,
"BLUE BAHIA, Distinguido ! Impecable !",VENTA,"$599,000.00",,3,3,,APARTAMENTOS,NUEVO
PACIFIC STAR,VENTALQUILER,"$300,000.00",,3,3,,APARTAMENTOS,DE SEGUNDA
PACIFIC POINT TORRE 300,VENTA,"$570,000.00",,3,3,,APARTAMENTOS,NUEVO
ROYAL PACIFIC,ALQUILER,"$1,300.00",,3,2,,APARTAMENTOS,
OCEANAIRE,VENTALQUILER,"$840,000.00",,2,2,,APARTAMENTOS,NUEVO
OCEAN PARK TORRE 1,VENTA,"$550,000.00",,3,3,,APARTAMENTOS,NUEVO
LOFT FOUR 41,VENTA,"$540,000.00",,2,1,,APARTAMENTOS,NUEVO
PACIFIC SUN,ALQUILER,"$1,300.00",,2,2,,APARTAMENTOS,
OCEAN DRIVE,VENTA,"$430,000.00",,3,3,,APARTAMENTOS,NUEVO
COSTA PACIFICA T400,VENTALQUILER,"$360,000.00",,3,3,,APARTAMENTOS,NUEVO
OCEAN REEF ISLA 1,VENTA,"$5,034,085.00",,,,,,NUEVO
OCEAN REEF ISLA 1,VENTA,"$3,602,795.00",,,,,,NUEVO
DUPONT TOWER,ALQUILER,"$2,100.00",,2,2,,APARTAMENTOS,
OASIS ON THE BAY,RENTANDO,"$780,000.00",,3,3,,APARTAMENTOS,
OCEAN DRIVE,VENTA,"$460,000.00",,3,3,,APARTAMENTOS,NUEVO
OASIS ON THE BAY,VENTALQUILER,"$220,000.00",,2,1,,APARTAMENTOS,DE SEGUNDA
COSTA PACIFICA TORRE T100,VENTA,"$240,000.00",,3,3,,APARTAMENTOS,DE SEGUNDA
PACIFIC POINT TORRE 300,VENTA,"$720,000.00",,3,4,,APARTAMENTOS,NUEVO
GRAND TOWER,ALQUILER,,,1,1,,APARTAMENTOS,
GRAND TOWER,ALQUILER,,,2,2,,APARTAMENTOS,
PACIFIC POINT TORRE 700,VENTALQUILER,"$1,100,000.00",,3,3,,APARTAMENTOS,NUEVO
GRAND TOWER,VENTA,"$345,000.00",,2,2,,APARTAMENTOS,DE SEGUNDA
TRUMP OCEAN CLUB,VENTA,"$515,000.00",,2,2,,APARTAMENTOS,NUEVO
TRUMP OCEAN CLUB,VENTA,"$515,000.00",,2,2,,APARTAMENTOS,NUEVO
OCEAN DRIVE,VENTA,"$575,000.00",,3,3,,APARTAMENTOS,NUEVO
PACIFIC POINT TORRE 700,ALQUILER,"$4,550.00",,3,3,,APARTAMENTOS,
PACIFIC POINT TORRE 200,VENTA,"$1,027,650.00",,3,3,,APARTAMENTOS,NUEVO
PACIFIC VILLAGE TORRE 2,ALQUILER,"$1,700.00",,1,1,,APARTAMENTOS,
TRUMP OCEAN CLUB,VENTALQUILER,"$550,000.00",,2,2,,APARTAMENTOS,NUEVO
COSTA PACIFICA T300,ALQUILER,"$1,950.00",,3,3,,APARTAMENTOS,
OCEAN DRIVE,VENTA,"$460,000.00",,3,3,,APARTAMENTOS,NUEVO
PACIFIC VILLAGE TORRE 2,RENTANDO,"$398,000.00",,2,1,,APARTAMENTOS,
Q TOWER,ALQUILER,"$3,000.00",,3,3,,APARTAMENTOS,
PACIFIC BLUE,VENTA,"$190,000.00",,2,2,,APARTAMENTOS,DE SEGUNDA
ROYAL PACIFIC,VENTALQUILER,"$290,000.00",,3,2,,APARTAMENTOS,DE SEGUNDA
PACIFIC BLUE,ALQUILER,"$1,300.00",,2,2,,APARTAMENTOS,
LOFT FOUR 41,ALQUILER,"$2,000.00",,1,1,,APARTAMENTOS,
COURTYARD VIEW,ALQUILER,"$1,700.00",,2,2,,APARTAMENTOS,
BELLA MARE,ALQUILER,"$9,200.00",,4,4,,APARTAMENTOS,
PACIFIC POINT,VENTA,"$1,095,000.00",,3,4,,APARTAMENTOS,NUEVO
PACIFIC POINT TORRE 300,VENTALQUILER,"$1,050,000.00",,3,3,,APARTAMENTOS,NUEVO
OCEAN PARK TORRE 2,VENTA,"$660,000.00",,4,4,,APARTAMENTOS,NUEVO
PACIFIC SKY,VENTA,"$450,000.00",,2,2,,APARTAMENTOS,NUEVO
OCEAN REEF ISLA 1,VENTA,"$3,432,996.00",,,,,,NUEVO
GRAND TOWER,VENTA,"$702,975.00",,2,2,,APARTAMENTOS,NUEVO
GRAND TOWER,VENTA,"$460,875.00",,2,2,,APARTAMENTOS,NUEVO
GRAND TOWER,VENTA,"$623,600.00",,2,2,,APARTAMENTOS,NUEVO
Q TOWER,VENTA,"$950,000.00",,4,6,,APARTAMENTOS,NUEVO
AQUAMARE,VENTA,"$1,450,000.00",,3,3,,APARTAMENTOS,NUEVO
DUPONT TOWER,VENTALQUILER,"$1,199,000.00",,3,3,,APARTAMENTOS,NUEVO
AQUAMARE,VENTA,"$1,100,000.00",,3,3,,APARTAMENTOS,NUEVO
AQUAMARE,ALQUILER,"$4,350.00",,3,3,,APARTAMENTOS,
OCEAN PARK TORRE 1,VENTA,"$985,000.00",,4,3,,APARTAMENTOS,NUEVO
RIVAGE,ALQUILER,"$2,000.00",,2,2,177,APARTAMENTOS,
WATERS ON THE BAY,ALQUILER,"$1,700.00",,2,2,123,APARTAMENTOS,
YOO,ALQUILER,"$2,300.00",,2,2,181,APARTAMENTOS,
WHITE,VENTA,"$250,000.00",,2,2,119,APARTAMENTOS,DE SEGUNDA
YACHT CLUB,ALQUILER,"$2,600.00",,3,3,179,APARTAMENTOS,
H2O,VENTA,"$589,000.00",,3,3,405,APARTAMENTOS,DE SEGUNDA
YOO,ALQUILER,"$1,400.00",,1,1,94,APARTAMENTOS,
WHITE,VENTA,"$338,000.00",,3,3,169,APARTAMENTOS,DE SEGUNDA
YOO,ALQUILER,"$1,600.00",,1,1,94,APARTAMENTOS,
YOO,ALQUILER,"$2,300.00",,2,2,167,APARTAMENTOS,
RIVAGE,VENTA,"$390,000.00",,2,2,177,APARTAMENTOS,DE SEGUNDA
WATERS ON THE BAY,VENTALQUILER,"$370,000.00",,2,2,122,APARTAMENTOS,DE SEGUNDA
PRINCESA DEL MAR,RENTANDO,"$650,000.00",,3,3,330,APARTAMENTOS,
BAYFRONT,VENTA,"$215,000.00",,1,1,100,APARTAMENTOS,DE SEGUNDA
LA ENSENADA,VENTALQUILER,"$360,000.00",,3,3,194,APARTAMENTOS,DE SEGUNDA
RIVAGE,VENTALQUILER,"$550,000.00",,2,2,169,APARTAMENTOS,NUEVO
MIRAMAR TORRE 2,VENTA,"$1,500,000.00",,3,3,750,APARTAMENTOS,NUEVO
MIRAMAR PLAZA,VENTA,"$1,500,000.00",,3,4,600,APARTAMENTOS,NUEVO
RIVAGE,VENTA,"$950,000.00",,3,3,347,APARTAMENTOS,NUEVO
ARTS & YOO,VENTA,"$1,080,000.00",,3,3,316,APARTAMENTOS,NUEVO
SKY,ALQUILER,"$1,650.00",,2,2,129,APARTAMENTOS,
MIRAMAR TORRE 2,ALQUILER,"$3,500.00",,3,3,375,APARTAMENTOS,
YOO,ALQUILER,"$2,300.00",,1,1,125,APARTAMENTOS,
ELEMENT,RENTANDO,"$270,000.00",,2,2,105,APARTAMENTOS,
MIRAMAR TORRE 2,VENTA,"$800,000.00",,3,3,375,APARTAMENTOS,NUEVO
YOO,ALQUILER,"$2,100.00",,1,2,133,APARTAMENTOS,
MIRAMAR TORRE 2,VENTA,"$900,000.00",,3,3,375,APARTAMENTOS,NUEVO
WATERS ON THE BAY,VENTALQUILER,"$390,000.00",,2,2,,APARTAMENTOS,DE SEGUNDA
RIVAGE,RENTANDO,"$360,000.00",,1,1,150,APARTAMENTOS,
WHITE,RENTANDO,"$330,000.00",,2,2,137,APARTAMENTOS,
YOO,VENTALQUILER,"$650,000.00",,2,2,180,APARTAMENTOS,NUEVO
BAYFRONT TOWER,VENTA,"$220,000.00",,1,1,87,APARTAMENTOS,DE SEGUNDA
YOO,VENTA,"$295,000.00",,1,1,94,APARTAMENTOS,DE SEGUNDA
VISTA DEL MAR,RENTANDO,"$250,000.00",,1,1,113,APARTAMENTOS,
YOO,VENTA,"$550,000.00",,2,2,176,APARTAMENTOS,NUEVO
YACHT CLUB,VENTA,"$420,000.00",,2,2,152,APARTAMENTOS,NUEVO
CONDESA DEL MAR,ALQUILER,"$3,900.00",,3,3,422,APARTAMENTOS,
YACHT CLUB,VENTALQUILER,"$500,000.00",,3,2,179,APARTAMENTOS,NUEVO
RIVAGE,VENTA,"$360,000.00",,1,2,150,APARTAMENTOS,DE SEGUNDA
WATERS ON THE BAY,VENTA,"$690,000.00",,3,3,269,APARTAMENTOS,NUEVO
WHITE,VENTALQUILER,"$280,000.00",,1,1,121,APARTAMENTOS,DE SEGUNDA
MIRAMAR TORRE 2,VENTALQUILER,"$900,000.00",,3,3,375,APARTAMENTOS,NUEVO
WHITE,VENTA,"$280,000.00",,2,2,119,APARTAMENTOS,DE SEGUNDA
ARTS & YOO,ALQUILER,"$2,500.00",,1,1,125,APARTAMENTOS,
GRAND BAY TOWER,ALQUILER,"$1,550.00",,1,2,103,APARTAMENTOS,
PH BRISAS OBARRIO,VENTA,"$240,000.00",,3,3,173,APARTAMENTOS,DE SEGUNDA
PARK CITY,ALQUILER,"$1,500.00",,2,2,117,APARTAMENTOS,
RIVER PARK,VENTA,"$240,000.00",,3,2,131,APARTAMENTOS,DE SEGUNDA
Vendo ganga apto amueblado Obarrio,VENTA,"$230,000.00",,3,3,150,APARTAMENTOS,DE SEGUNDA
PH THE ONE 17A,ALQUILER,"$1,600.00",,3,3,154,APARTAMENTOS,
"CASA EN OBARRIO PARA REMODELAR $ 400,000",VENTA,"$400,000.00",,3,4,170,CASAS,NUEVO
EXCELENTE APARTAMENTO EN OBARRIO,VENTA,"$275,000.00",,2,3,135,APARTAMENTOS,DE SEGUNDA
PH Denovo,VENTA,"$205,000.00",,2,2,110,APARTAMENTOS,DE SEGUNDA
CASA EN OBARRIO,ALQUILER,"$2,900.00",,4,2,514,CASAS,
TERRENO EN OBARRIO,ALQUILER,"$5,000.00",,,,,,
SOPHIA TOWER,VENTA,"$355,000.00",,3,3,188,APARTAMENTOS,DE SEGUNDA
BAHIA OBARRIO,ALQUILER,"$1,950.00",,3,3,181,APARTAMENTOS,
RIVER PARK,ALQUILER,"$1,600.00",,3,2,131,APARTAMENTOS,
CASA EN OBARRIO,VENTA,"$750,000.00",,3,3,292,CASAS,NUEVO
TERRAZAS DE OBARRIO,ALQUILER,"$1,500.00",,3,2,197,APARTAMENTOS,
VISTA PACIFICA,ALQUILER,"$1,700.00",,3,3,190,APARTAMENTOS,
SOPHIA TOWER,VENTA,"$375,000.00",,3,3,188,APARTAMENTOS,DE SEGUNDA
MILLENIUM,ALQUILER,"$1,650.00",,3,2,177,APARTAMENTOS,
THE PALM,VENTALQUILER,"$382,812.00",,3,3,166,APARTAMENTOS,DE SEGUNDA
THE PALM,RENTANDO,"$378,718.00",,3,3,165,APARTAMENTOS,
THE PALM,VENTALQUILER,"$383,456.00",,3,3,167,APARTAMENTOS,DE SEGUNDA
VILLAS OBARRIO,ALQUILER,"$1,300.00",,2,2,115,APARTAMENTOS,
RIVER PARK,ALQUILER,"$2,000.00",,3,2,128,APARTAMENTOS,
RIVER PARK,ALQUILER,"$2,000.00",,3,2,131,APARTAMENTOS,
RIVER PARK,VENTA,"$325,000.00",,2,2,131,APARTAMENTOS,DE SEGUNDA
Apartamento en Yacht Club,VENTA,"$261,670.00",,1,1,166,APARTAMENTOS,DE SEGUNDA
ESCUCHAMOS OFERTAS ¡PRECIO NEGOCIABLE!,VENTA,"$270,000.00",,2,2,108,APARTAMENTOS,DE SEGUNDA
THE SEAWAVES,VENTA,"$220,000.00",,3,2,125,APARTAMENTOS,DE SEGUNDA
CERROMAR,VENTA,"$470,000.00",,4,4,331,APARTAMENTOS,NUEVO
LAS PALMERAS,ALQUILER,"$1,950.00",,4,3,282,APARTAMENTOS,
Apartamento en PH Marina Park,VENTA,"$390,000.00",,3,3,204,APARTAMENTOS,DE SEGUNDA
Allure At The Park,ALQUILER,"$1,600.00",,2,2,175,APARTAMENTOS,
Miramar 36-B,VENTA,"$690,000.00",,3,3,375,APARTAMENTOS,NUEVO
SE VENDE APARTAMENTO EN PH ALLURE,VENTA,"$550,000.00",,3,3,287,APARTAMENTOS,NUEVO
MEGAPOLIS PISO ALTO | EVALUAMOS OFERTAS,VENTA,"$101,000.00",,1,1,43,APARTAMENTOS,DE SEGUNDA
ph h2o on the ocean,VENTALQUILER,"$485,000.00",,4,3,280,APARTAMENTOS,NUEVO
INIGUALABLE MODELO F – AHORA NEGOCIABLE,ALQUILER,"$2,100.00",,1,1,135,APARTAMENTOS,
THE SEAWAVE,ALQUILER,$900.00,,2,3,100,APARTAMENTOS,
Torres del Pacifico Torre B,VENTA,"$300,000.00",,3,3,180,APARTAMENTOS,DE SEGUNDA
NUOVO PANAMA con 4 ESTACIONAMIENTOS,VENTA,"$390,000.00",,2,3,101,APARTAMENTOS,DE SEGUNDA
NUOVO PANAMA con 2 ESTACIONAMIENTOS,VENTA,"$330,000.00",,2,3,94,APARTAMENTOS,DE SEGUNDA
Apartamento en venta PH Rivage 29-B,VENTA,"$275,000.00",,2,2,150,APARTAMENTOS,DE SEGUNDA
NUOVO PANAMA A PASOS DE LA CINTA COSTERA,VENTA,"$299,000.00",,2,3,94,APARTAMENTOS,DE SEGUNDA
ROR,VENTA,"$298,000.00",,3,3,239,APARTAMENTOS,DE SEGUNDA
MARINA PARK,RENTANDO,"$390,000.00",,3,3,204,APARTAMENTOS,
MARINA PARK,RENTANDO,"$390,000.00",,3,3,210,APARTAMENTOS,
CASA COMERCIAL EN BELLA VISTA,VENTALQUILER,"$1,080,000.00",,6,618,,CASAS,NUEVO
"P.H BELLA VISTA PARK,",VENTALQUILER,"$297,500.00",,2,2,160,APARTAMENTOS,DE SEGUNDA
TERRENO EN BELLA VISTA,VENTA,"$1,900,000.00",,,,,,NUEVO
PH BELLA VISTA PARK,VENTA,"$290,000.00",,2,2,132,APARTAMENTOS,DE SEGUNDA
ROR,VENTA,"$330,000.00",,3,3,228,APARTAMENTOS,DE SEGUNDA
TERRENO EN BELLA VISTA,VENTA,"$2,400,000.00",,,,,,NUEVO
ROR,VENTA,"$398,000.00",,2,2,228,APARTAMENTOS,DE SEGUNDA
PARQUE MARBELLA,ALQUILER,"$1,400.00",,2,2,125,APARTAMENTOS,
BELLE VIEW,VENTA,"$315,000.00",,3,2,125,APARTAMENTOS,DE SEGUNDA
TERRENO EN BELLA VISTA,VENTA,"$2,200,000.00",,,,,,NUEVO
HOSTAL EN BELLA VISTA,ALQUILER,"$8,200.00",,688,,,CASAS,
Parkside Costa del Este,VENTALQUILER,"$320,000.00","$1,300.00",1,1,96,APARTAMENTOS,DE SEGUNDA
MAREA II,VENTA,"$2,216,700.00",,4,4,718,APARTAMENTOS,NUEVO
COSTA SERENA,VENTALQUILER,"$1,100,000.00","$4,000.00",3,5,550,CASAS,NUEVO
Castellammare Loft,VENTA,"$280,000.00",,2,2,113,APARTAMENTOS,DE SEGUNDA
SOL DEL ESTE TORRE 2,RENTANDO,"$255,000.00","$1,200.00",3,3,147,APARTAMENTOS,
Sol del Este,VENTA,"$260,000.00",,3,3,147,APARTAMENTOS,DE SEGUNDA
COSTA SERENA,VENTA,"$790,000.00",,4,4,420,CASAS,NUEVO
Costa Dorada #82,VENTA,"$650,000.00",,3,3,380,CASAS,NUEVO
"Costa del Este, COSTA SERENA",VENTA,"$1,023,000.00",,3,3,500,CASAS,NUEVO
COSTA AZUL,VENTALQUILER,"$850,000.00","$3,500.00",4,3,247,CASAS,NUEVO
Costa Serena,VENTALQUILER,"$880,000.00","$4,000.00",4,4,462,CASAS,NUEVO
OCEAN ONE,VENTA,"$620,000.00",,4,4,330,APARTAMENTOS,NUEVO
Antigua,ALQUILER,"$4,500.00",,3,3,450,CASAS,
Green Bay III 22B,VENTA,"$165,000.00",,3,2,114,APARTAMENTOS,DE SEGUNDA
COSTA SERENA,VENTA,"$850,000.00",,3,3,360,CASAS,NUEVO
COSTA BAY,VENTA,"$790,000.00",,3,3,414,CASAS,NUEVO
RIVERSIDE,VENTA,"$294,000.00",,1,2,101,APARTAMENTOS,DE SEGUNDA
BALMORAL,VENTA,"$2,500,000.00",,4,4,767,CASAS,NUEVO
CAMELIAS,VENTA,"$1,500,000.00",,3,3,655,CASAS,NUEVO
BEGONIAS,VENTA,"$1,750,000.00",,6,6,900,CASAS,NUEVO
PH ALTAMAR DEL ESTE,VENTALQUILER,"$699,000.00","$2,600.00",3,3,317,APARTAMENTOS,NUEVO
PH RIVERSIDE EN ALQUILER O VENTA,VENTALQUILER,"$340,000.00","$1,600.00",1,2,105,APARTAMENTOS,DE SEGUNDA
Costa Bella,ALQUILER,"$2,800.00",,3,4,445,CASAS,
COSTA BELLA RESIDENCIA EN VENTA,VENTA,"$740,000.00",,3,4,360,CASAS,NUEVO
PH LUMIERE T200 28C,ALQUILER,"$1,300.00",,2,2,102,APARTAMENTOS,
MAREA II,VENTA,"$2,000,000.00",,4,4,718,APARTAMENTOS,NUEVO
PH VITRI TOWER,VENTALQUILER,"$1,300,000.00","$5,500.00",4,4,525,APARTAMENTOS,NUEVO
SOHO TOWER IMPECABLE,VENTALQUILER,"$450,000.00","$2,300.00",3,3,207,APARTAMENTOS,NUEVO
COUNTRY CLUB,VENTALQUILER,"$370,000.00","$1,500.00",3,3,204,APARTAMENTOS,DE SEGUNDA
PH SEVILLA T0RRE 1000,VENTA,"$239,000.00",,2,2,110,APARTAMENTOS,DE SEGUNDA
PH PARKSIDE,ALQUILER,"$1,800.00",,2,2,125,APARTAMENTOS,
PH Vitri,ALQUILER,"$3,700.00",,4,4,387,APARTAMENTOS,
TORRE ZEUS,VENTA,"$706,200.00",,3,3,372,APARTAMENTOS,NUEVO
COSTA SERENA,VENTA,"$1,050,000.00",,5,5,520,CASAS,NUEVO
PARQUE DEL MAR I,VENTA,"$365,000.00",,3,3,202,APARTAMENTOS,DE SEGUNDA
TEN TOWER,RENTANDO,"$886,000.00",,3,3,419,APARTAMENTOS,
TOSCANA DEL ESTE,VENTA,"$1,800,000.00",,4,4,500,CASAS,NUEVO
ROYAL PACIFIC,VENTALQUILER,"$1,350,000.00","$6,500.00",5,4,575,CASAS,NUEVO
OCEAN TWO,VENTA,"$875,000.00",,4,4,410,APARTAMENTOS,NUEVO
PH Breeze,VENTA,"$450,000.00",,3,3,238,APARTAMENTOS,NUEVO
PH MAREA,VENTALQUILER,"$1,785,000.00","$6,500.00",4,4,626,APARTAMENTOS,NUEVO
PH VITRI TOWER,ALQUILER,"$3,900.00",,4,4,386,APARTAMENTOS,
OCEAN TWO,VENTA,"$749,000.00",,3,3,415,APARTAMENTOS,NUEVO
Sol del Este 19A,VENTALQUILER,"$260,000.00","$1,400.00",3,3,147,APARTAMENTOS,DE SEGUNDA
PH MAREA,VENTA,"$1,550,000.00",,4,4,626,APARTAMENTOS,NUEVO
PH PARQUE DEL MAR LINDA VISTA AL PARQUE,VENTA,"$359,900.00",,3,3,202,APARTAMENTOS,DE SEGUNDA
OCEAN TWO,VENTA,"$675,000.00",,3,3,303,APARTAMENTOS,DE SEGUNDA
PANAMA BAY TOWER,VENTALQUILER,"$660,000.00","$4,250.00",3,3,338,APARTAMENTOS,NUEVO
VITRI TOWER,VENTALQUILER,"$956,228.00","$4,850.00",3,3,368,APARTAMENTOS,NUEVO
BAYSIDE,ALQUILER,"$3,300.00",,3,3,294,APARTAMENTOS,
BAYSIDE,ALQUILER,"$2,990.00",,3,3,294,APARTAMENTOS,
GREEN BAY COSTA DEL ESTE,VENTA,"$180,000.00",,3,2,125,APARTAMENTOS,DE SEGUNDA
Ocean Two,VENTALQUILER,"$625,000.00","$2,800.00",3,3,303,APARTAMENTOS,NUEVO
