Numero,Ubicación,Nombre,Disponibilidad,precio de Venta,Precio de Alquiler,Recamaras,Baños,Dimensión,Tipo de vivienda,vivienda nueva / de segunda
75,"Punta Pacifica, San Francisco",ALQUILO con 2 ESTAC. | ANTIGUO TRUMP,ALQUILER,"$1,800.00",,1,1,102,APARTAMENTOS,
76,"Punta Pacifica, San Francisco",PH Oceanaire,VENTA,"$330,000.00",,2,2,178,APARTAMENTOS,DE SEGUNDA
77,"Punta Pacifica, San Francisco",SEMI-AMOBLADO + DEPÓSITO DE 11 METROS,VENTA,"$277,000.00",,2,1,99,APARTAMENTOS,NUEVO
78,"Punta Pacifica, San Francisco",AQUALINA,VENTALQUILER,"$636,000.00",,3,3,328,APARTAMENTOS,NUEVO
79,"Punta Pacifica, San Francisco",PH OASIS ON THE BAY,ALQUILER,"$1,250.00",,2,2,99,APARTAMENTOS,
80,"Punta Pacifica, San Francisco",PACIFIC VILLAGE,ALQUILER,"$3,500.00",,3,3,261,APARTAMENTOS,
81,"Punta Pacifica, San Francisco",COSTA PACIFICA T100,VENTALQUILER,"$410,000.00",,3,2,242,APARTAMENTOS,NUEVO
82,"Punta Pacifica, San Francisco",COSTA PACIFICA T400,VENTALQUILER,"$385,000.00",,3,3,199,APARTAMENTOS,DE SEGUNDA
83,"Punta Pacifica, San Francisco",LOFT FOUR 41,ALQUILER,"$1,400.00",,1,1,163,APARTAMENTOS,
84,"Punta Pacifica, San Francisco","BLUE BAHIA, Distinguido ! Impecable !",VENTA,"$599,000.00",,3,3,279,APARTAMENTOS,NUEVO
85,"Punta Pacifica, San Francisco",PACIFIC STAR,VENTALQUILER,"$300,000.00",,3,3,180,APARTAMENTOS,DE SEGUNDA
86,"Punta Pacifica, San Francisco",PACIFIC POINT TORRE 300,VENTA,"$570,000.00",,3,3,306,APARTAMENTOS,NUEVO
87,"Punta Pacifica, San Francisco",ROYAL PACIFIC,ALQUILER,"$1,300.00",,3,2,186,APARTAMENTOS,
88,"Punta Pacifica, San Francisco",OCEANAIRE,VENTALQUILER,"$840,000.00",,2,2,321,APARTAMENTOS,NUEVO
89,"Punta Pacifica, San Francisco",OCEAN PARK TORRE 1,VENTA,"$550,000.00",,3,3,259,APARTAMENTOS,NUEVO
90,"Punta Pacifica, San Francisco",LOFT FOUR 41,VENTA,"$540,000.00",,2,1,483,APARTAMENTOS,NUEVO
91,"Punta Pacifica, San Francisco",PACIFIC SUN,ALQUILER,"$1,300.00",,2,2,110,APARTAMENTOS,
92,"Punta Pacifica, San Francisco",OCEAN DRIVE,VENTA,"$430,000.00",,3,3,222,APARTAMENTOS,NUEVO
93,"Punta Pacifica, San Francisco",COSTA PACIFICA T400,VENTALQUILER,"$360,000.00",,3,3,199,APARTAMENTOS,NUEVO
96,"Punta Pacifica, San Francisco",DUPONT TOWER,ALQUILER,"$2,100.00",,2,2,167,APARTAMENTOS,
97,"Punta Pacifica, San Francisco",OASIS ON THE BAY,RENTANDO,"$780,000.00",,3,3,299,APARTAMENTOS,
98,"Punta Pacifica, San Francisco",OCEAN DRIVE,VENTA,"$460,000.00",,3,3,460,APARTAMENTOS,NUEVO
99,"Punta Pacifica, San Francisco",OASIS ON THE BAY,VENTALQUILER,"$220,000.00",,2,1,99,APARTAMENTOS,DE SEGUNDA
100,"Punta Pacifica, San Francisco",COSTA PACIFICA TORRE T100,VENTA,"$240,000.00",,3,3,126,APARTAMENTOS,DE SEGUNDA
101,"Punta Pacifica, San Francisco",PACIFIC POINT TORRE 300,VENTA,"$720,000.00",,3,4,306,APARTAMENTOS,NUEVO
103,"Punta Pacifica, San Francisco",GRAND TOWER,ALQUILER,,,2,2,171,APARTAMENTOS,
104,"Punta Pacifica, San Francisco",PACIFIC POINT TORRE 700,VENTALQUILER,"$1,100,000.00",,3,3,389,APARTAMENTOS,NUEVO
105,"Punta Pacifica, San Francisco",GRAND TOWER,VENTA,"$345,000.00",,2,2,159,APARTAMENTOS,DE SEGUNDA
106,"Punta Pacifica, San Francisco",TRUMP OCEAN CLUB,VENTA,"$515,000.00",,2,2,153,APARTAMENTOS,NUEVO
107,"Punta Pacifica, San Francisco",TRUMP OCEAN CLUB,VENTA,"$515,000.00",,2,2,153,APARTAMENTOS,NUEVO
108,"Punta Pacifica, San Francisco",OCEAN DRIVE,VENTA,"$575,000.00",,3,3,333,APARTAMENTOS,NUEVO
109,"Punta Pacifica, San Francisco",PACIFIC POINT TORRE 700,ALQUILER,"$4,550.00",,3,3,395,APARTAMENTOS,
110,"Punta Pacifica, San Francisco",PACIFIC POINT TORRE 200,VENTA,"$1,027,650.00",,3,3,395,APARTAMENTOS,NUEVO
111,"Punta Pacifica, San Francisco",PACIFIC VILLAGE TORRE 2,ALQUILER,"$1,700.00",,1,1,167,APARTAMENTOS,
112,"Punta Pacifica, San Francisco",TRUMP OCEAN CLUB,VENTALQUILER,"$550,000.00",,2,2,153,APARTAMENTOS,NUEVO
113,"Punta Pacifica, San Francisco",COSTA PACIFICA T300,ALQUILER,"$1,950.00",,3,3,183,APARTAMENTOS,
114,"Punta Pacifica, San Francisco",OCEAN DRIVE,VENTA,"$460,000.00",,3,3,222,APARTAMENTOS,NUEVO
115,"Punta Pacifica, San Francisco",PACIFIC VILLAGE TORRE 2,RENTANDO,"$398,000.00",,2,1,167,APARTAMENTOS,
116,"Punta Pacifica, San Francisco",Q TOWER,ALQUILER,"$3,000.00",,3,3,307,APARTAMENTOS,
117,"Punta Pacifica, San Francisco",PACIFIC BLUE,VENTA,"$190,000.00",,2,2,88,APARTAMENTOS,DE SEGUNDA
118,"Punta Pacifica, San Francisco",ROYAL PACIFIC,VENTALQUILER,"$290,000.00",,3,2,129,APARTAMENTOS,DE SEGUNDA
119,"Punta Pacifica, San Francisco",PACIFIC BLUE,ALQUILER,"$1,300.00",,2,2,90,APARTAMENTOS,
120,"Punta Pacifica, San Francisco",LOFT FOUR 41,ALQUILER,"$2,000.00",,1,1,167,APARTAMENTOS,
121,"Punta Pacifica, San Francisco",COURTYARD VIEW,ALQUILER,"$1,700.00",,2,2,165,APARTAMENTOS,
122,"Punta Pacifica, San Francisco",BELLA MARE,ALQUILER,"$9,200.00",,4,4,795,APARTAMENTOS,
123,"Punta Pacifica, San Francisco",PACIFIC POINT,VENTA,"$1,095,000.00",,3,4,404,APARTAMENTOS,NUEVO
124,"Punta Pacifica, San Francisco",PACIFIC POINT TORRE 300,VENTALQUILER,"$1,050,000.00",,3,3,306,APARTAMENTOS,NUEVO
125,"Punta Pacifica, San Francisco",OCEAN PARK TORRE 2,VENTA,"$660,000.00",,4,4,280,APARTAMENTOS,NUEVO
126,"Punta Pacifica, San Francisco",PACIFIC SKY,VENTA,"$450,000.00",,2,2,220,APARTAMENTOS,NUEVO
128,"Punta Pacifica, San Francisco",GRAND TOWER,VENTA,"$702,975.00",,2,2,251,APARTAMENTOS,NUEVO
129,"Punta Pacifica, San Francisco",GRAND TOWER,VENTA,"$460,875.00",,2,2,171,APARTAMENTOS,NUEVO
130,"Punta Pacifica, San Francisco",GRAND TOWER,VENTA,"$623,600.00",,2,2,115,APARTAMENTOS,NUEVO
131,"Punta Pacifica, San Francisco",Q TOWER,VENTA,"$950,000.00",,4,6,363,APARTAMENTOS,NUEVO
132,"Punta Pacifica, San Francisco",AQUAMARE,VENTA,"$1,450,000.00",,3,3,610,APARTAMENTOS,NUEVO
133,"Punta Pacifica, San Francisco",DUPONT TOWER,VENTALQUILER,"$1,199,000.00",,3,3,442,APARTAMENTOS,NUEVO
134,"Punta Pacifica, San Francisco",AQUAMARE,VENTA,"$1,100,000.00",,3,3,356,APARTAMENTOS,NUEVO
135,"Punta Pacifica, San Francisco",AQUAMARE,ALQUILER,"$4,350.00",,3,3,400,APARTAMENTOS,
136,"Punta Pacifica, San Francisco",OCEAN PARK TORRE 1,VENTA,"$985,000.00",,4,3,448,APARTAMENTOS,NUEVO
137,"Ave Balboa,Calidonia",RIVAGE,ALQUILER,"$2,000.00",,2,2,177,APARTAMENTOS,
138,"Ave Balboa, Bella Vista",WATERS ON THE BAY,ALQUILER,"$1,700.00",,2,2,123,APARTAMENTOS,
139,"Ave Balboa, Bella Vista",YOO,ALQUILER,"$2,300.00",,2,2,181,APARTAMENTOS,
140,"Ave Balboa, Bella Vista",WHITE,VENTA,"$250,000.00",,2,2,119,APARTAMENTOS,DE SEGUNDA
141,"Ave Balboa, Bella Vista",YACHT CLUB,ALQUILER,"$2,600.00",,3,3,179,APARTAMENTOS,
142,"Ave Balboa, Bella Vista",H2O,VENTA,"$589,000.00",,3,3,405,APARTAMENTOS,DE SEGUNDA
143,"Ave Balboa, Bella Vista",YOO,ALQUILER,"$1,400.00",,1,1,94,APARTAMENTOS,
144,"Ave Balboa,Calidonia",WHITE,VENTA,"$338,000.00",,3,3,169,APARTAMENTOS,DE SEGUNDA
145,"Ave Balboa, Bella Vista",YOO,ALQUILER,"$1,600.00",,1,1,94,APARTAMENTOS,
146,"Ave Balboa, Bella Vista",YOO,ALQUILER,"$2,300.00",,2,2,167,APARTAMENTOS,
147,"Ave Balboa,Calidonia",RIVAGE,VENTA,"$390,000.00",,2,2,177,APARTAMENTOS,DE SEGUNDA
148,"Ave Balboa, Bella Vista",WATERS ON THE BAY,VENTALQUILER,"$370,000.00",,2,2,122,APARTAMENTOS,DE SEGUNDA
149,"Ave Balboa,Calidonia",PRINCESA DEL MAR,RENTANDO,"$650,000.00",,3,3,330,APARTAMENTOS,
150,"Ave Balboa,Calidonia",BAYFRONT,VENTA,"$215,000.00",,1,1,100,APARTAMENTOS,DE SEGUNDA
151,"Ave Balboa, Bella Vista",LA ENSENADA,VENTALQUILER,"$360,000.00",,3,3,194,APARTAMENTOS,DE SEGUNDA
152,"Ave Balboa,Calidonia",RIVAGE,VENTALQUILER,"$550,000.00",,2,2,169,APARTAMENTOS,NUEVO
153,"Ave Balboa, Bella Vista",MIRAMAR TORRE 2,VENTA,"$1,500,000.00",,3,3,750,APARTAMENTOS,NUEVO
154,"Ave Balboa,Calidonia",MIRAMAR PLAZA,VENTA,"$1,500,000.00",,3,4,600,APARTAMENTOS,NUEVO
155,"Ave Balboa,Calidonia",RIVAGE,VENTA,"$950,000.00",,3,3,347,APARTAMENTOS,NUEVO
156,"Ave Balboa, Bella Vista",ARTS & YOO,VENTA,"$1,080,000.00",,3,3,316,APARTAMENTOS,NUEVO
157,"Ave Balboa,Calidonia",SKY,ALQUILER,"$1,650.00",,2,2,129,APARTAMENTOS,
158,"Ave Balboa, Bella Vista",MIRAMAR TORRE 2,ALQUILER,"$3,500.00",,3,3,375,APARTAMENTOS,
159,"Ave Balboa, Bella Vista",YOO,ALQUILER,"$2,300.00",,1,1,125,APARTAMENTOS,
160,"Ave Balboa,Calidonia",ELEMENT,RENTANDO,"$270,000.00",,2,2,105,APARTAMENTOS,
161,"Ave Balboa, Bella Vista",MIRAMAR TORRE 2,VENTA,"$800,000.00",,3,3,375,APARTAMENTOS,NUEVO
162,"Ave Balboa, Bella Vista",YOO,ALQUILER,"$2,100.00",,1,2,133,APARTAMENTOS,
163,"Ave Balboa, Bella Vista",MIRAMAR TORRE 2,VENTA,"$900,000.00",,3,3,375,APARTAMENTOS,NUEVO
164,"Ave Balboa, Bella Vista",WATERS ON THE BAY,VENTALQUILER,"$390,000.00",,2,2,122,APARTAMENTOS,DE SEGUNDA
165,"Ave Balboa,Calidonia",RIVAGE,RENTANDO,"$360,000.00",,1,1,150,APARTAMENTOS,
166,"Ave Balboa,Calidonia",WHITE,RENTANDO,"$330,000.00",,2,2,137,APARTAMENTOS,
167,"Ave Balboa, Bella Vista",YOO,VENTALQUILER,"$650,000.00",,2,2,180,APARTAMENTOS,NUEVO
168,"Ave Balboa,Calidonia",BAYFRONT TOWER,VENTA,"$220,000.00",,1,1,87,APARTAMENTOS,DE SEGUNDA
169,"Ave Balboa, Bella Vista",YOO,VENTA,"$295,000.00",,1,1,94,APARTAMENTOS,DE SEGUNDA
170,"Ave Balboa, Bella Vista",VISTA DEL MAR,RENTANDO,"$250,000.00",,1,1,113,APARTAMENTOS,
171,"Ave Balboa, Bella Vista",YOO,VENTA,"$550,000.00",,2,2,176,APARTAMENTOS,NUEVO
172,"Ave Balboa,Calidonia",YACHT CLUB,VENTA,"$420,000.00",,2,2,152,APARTAMENTOS,NUEVO
173,"Ave Balboa, Bella Vista",CONDESA DEL MAR,ALQUILER,"$3,900.00",,3,3,422,APARTAMENTOS,
174,"Ave Balboa,Calidonia",YACHT CLUB,VENTALQUILER,"$500,000.00",,3,2,179,APARTAMENTOS,NUEVO
175,"Ave Balboa,Calidonia",RIVAGE,VENTA,"$360,000.00",,1,2,150,APARTAMENTOS,DE SEGUNDA
176,"Ave Balboa, Bella Vista",WATERS ON THE BAY,VENTA,"$690,000.00",,3,3,269,APARTAMENTOS,NUEVO
177,"Ave Balboa,Calidonia",WHITE,VENTALQUILER,"$280,000.00",,1,1,121,APARTAMENTOS,DE SEGUNDA
178,"Ave Balboa, Bella Vista",MIRAMAR TORRE 2,VENTALQUILER,"$900,000.00",,3,3,375,APARTAMENTOS,NUEVO
179,"Ave Balboa,Calidonia",WHITE,VENTA,"$280,000.00",,2,2,119,APARTAMENTOS,DE SEGUNDA
180,"Ave Balboa, Bella Vista",ARTS & YOO,ALQUILER,"$2,500.00",,1,1,125,APARTAMENTOS,
181,"Ave Balboa, Bella Vista",GRAND BAY TOWER,ALQUILER,"$1,550.00",,1,2,103,APARTAMENTOS,
182,"Obarrio, Bella Vista",PH BRISAS OBARRIO,VENTA,"$240,000.00",,3,3,173,APARTAMENTOS,DE SEGUNDA
183,"Obarrio, Bella Vista",PARK CITY,ALQUILER,"$1,500.00",,2,2,117,APARTAMENTOS,
184,"Obarrio, Bella Vista",RIVER PARK,VENTA,"$240,000.00",,3,2,131,APARTAMENTOS,DE SEGUNDA
185,"Obarrio, Bella Vista",Vendo ganga apto amueblado Obarrio,VENTA,"$230,000.00",,3,3,150,APARTAMENTOS,DE SEGUNDA
186,"Obarrio, Bella Vista",PH THE ONE 17A,ALQUILER,"$1,600.00",,3,3,154,APARTAMENTOS,
187,"Obarrio, Bella Vista","CASA EN OBARRIO PARA REMODELAR $ 400,000",VENTA,"$400,000.00",,3,4,170,CASAS,NUEVO
188,"Obarrio, Bella Vista",EXCELENTE APARTAMENTO EN OBARRIO,VENTA,"$275,000.00",,2,3,135,APARTAMENTOS,DE SEGUNDA
189,"Obarrio, Bella Vista",PH Denovo,VENTA,"$205,000.00",,2,2,110,APARTAMENTOS,DE SEGUNDA
190,"Obarrio, Bella Vista",CASA EN OBARRIO,ALQUILER,"$2,900.00",,4,2,514,CASAS,
192,"Obarrio, Bella Vista",SOPHIA TOWER,VENTA,"$355,000.00",,3,3,188,APARTAMENTOS,DE SEGUNDA
193,"Obarrio, Bella Vista",BAHIA OBARRIO,ALQUILER,"$1,950.00",,3,3,181,APARTAMENTOS,
194,"Obarrio, Bella Vista",RIVER PARK,ALQUILER,"$1,600.00",,3,2,131,APARTAMENTOS,
195,"Obarrio, Bella Vista",CASA EN OBARRIO,VENTA,"$750,000.00",,3,3,292,CASAS,NUEVO
196,"Obarrio, Bella Vista",TERRAZAS DE OBARRIO,ALQUILER,"$1,500.00",,3,2,197,APARTAMENTOS,
197,"Obarrio, Bella Vista",VISTA PACIFICA,ALQUILER,"$1,700.00",,3,3,190,APARTAMENTOS,
198,"Obarrio, Bella Vista",SOPHIA TOWER,VENTA,"$375,000.00",,3,3,188,APARTAMENTOS,DE SEGUNDA
199,"Obarrio, Bella Vista",MILLENIUM,ALQUILER,"$1,650.00",,3,2,177,APARTAMENTOS,
200,Bella vista,THE PALM,VENTALQUILER,"$382,812.00",,3,3,166,APARTAMENTOS,DE SEGUNDA
201,Bella vista,THE PALM,RENTANDO,"$378,718.00",,3,3,165,APARTAMENTOS,
202,Bella vista,THE PALM,VENTALQUILER,"$383,456.00",,3,3,167,APARTAMENTOS,DE SEGUNDA
203,Bella vista,VILLAS OBARRIO,ALQUILER,"$1,300.00",,2,2,115,APARTAMENTOS,
204,Bella vista,RIVER PARK,ALQUILER,"$2,000.00",,3,2,128,APARTAMENTOS,
205,Bella vista,RIVER PARK,ALQUILER,"$2,000.00",,3,2,131,APARTAMENTOS,
206,Bella vista,RIVER PARK,VENTA,"$325,000.00",,2,2,131,APARTAMENTOS,DE SEGUNDA
207,Bella vista,Apartamento en Yacht Club,VENTA,"$261,670.00",,1,1,166,APARTAMENTOS,DE SEGUNDA
208,Bella vista,ESCUCHAMOS OFERTAS ¡PRECIO NEGOCIABLE!,VENTA,"$270,000.00",,2,2,108,APARTAMENTOS,DE SEGUNDA
209,Bella vista,THE SEAWAVES,VENTA,"$220,000.00",,3,2,125,APARTAMENTOS,DE SEGUNDA
210,Bella vista,CERROMAR,VENTA,"$470,000.00",,4,4,331,APARTAMENTOS,NUEVO
211,Bella vista,LAS PALMERAS,ALQUILER,"$1,950.00",,4,3,282,APARTAMENTOS,
212,Bella vista,Apartamento en PH Marina Park,VENTA,"$390,000.00",,3,3,204,APARTAMENTOS,DE SEGUNDA
213,Bella vista,Allure At The Park,ALQUILER,"$1,600.00",,2,2,175,APARTAMENTOS,
214,Bella vista,Miramar 36-B,VENTA,"$690,000.00",,3,3,375,APARTAMENTOS,NUEVO
215,Bella vista,SE VENDE APARTAMENTO EN PH ALLURE,VENTA,"$550,000.00",,3,3,287,APARTAMENTOS,NUEVO
216,Bella vista,MEGAPOLIS PISO ALTO | EVALUAMOS OFERTAS,VENTA,"$101,000.00",,1,1,43,APARTAMENTOS,DE SEGUNDA
217,Bella vista,ph h2o on the ocean,VENTALQUILER,"$485,000.00",,4,3,280,APARTAMENTOS,NUEVO
218,Bella vista,INIGUALABLE MODELO F – AHORA NEGOCIABLE,ALQUILER,"$2,100.00",,1,1,135,APARTAMENTOS,
219,Bella vista,THE SEAWAVE,ALQUILER,$900.00,,2,3,100,APARTAMENTOS,
220,Bella vista,Torres del Pacifico Torre B,VENTA,"$300,000.00",,3,3,180,APARTAMENTOS,DE SEGUNDA
